"[0.9466331210079367, 2, 0]","[0.03771930318829313, 2, 1]"
"[0.8209480897452192, 6, 0]","[0.004252933223443715, 4, 2]"
"[0.9364019379475151, 1, 0]","[0.038444083490431644, 2, 1]"
"[0.8544796748120593, 5, 0]","[8.416398472874936e-08, 6, 5]"
"[0.9364019379475151, 1, 0]","[1.0520036628094012e-05, 6, 4]"
"[0.8219264354574402, 6, 0]","[0.9364019379475151, 1, 0]"
"[0.942982579707328, 2, 0]","[0.004243868528142937, 4, 2]"
"[0.23381969562671986, 9, 1]","[5.68901112838954e-05, 4, 3]"
"[0.8750295678981944, 4, 0]","[7.492484603528816e-14, 12, 10]"
"[0.9364019379475151, 1, 0]","[0.037865324840317474, 2, 1]"
"[0.8949016288681729, 3, 0]","[0.008205870217043915, 5, 2]"
"[0.759642554737008, 8, 0]","[3.234750167226898e-09, 7, 6]"
"[0.942982579707328, 2, 0]","[0.03600612842698793, 2, 1]"
"[0.9244246007572031, 3, 0]","[0.008202595817801882, 5, 2]"
"[0.10608788716254251, 4, 1]","[1.0520660252162611e-05, 6, 4]"
"[0.9364019379475151, 1, 0]","[0.037202940190448654, 2, 1]"
"[0.7599146825167081, 8, 0]","[0.038444083490431644, 2, 1]"
"[0.9132972412347234, 3, 0]","[0.03746338823489785, 2, 1]"
"[0.9611596095675976, 2, 0]","[0.035365665996666004, 2, 1]"
"[0.8219189598579298, 6, 0]","[0.0373368896317752, 2, 1]"
"[0.8884570672035478, 4, 0]","[2.187688386234788e-06, 5, 4]"
"[0.8863994169378271, 4, 0]","[0.0005260333483065295, 6, 3]"
"[0.759917802739464, 8, 0]","[2.1882987153723294e-06, 5, 4]"
"[0.5552645022197642, 16, 0]","[4.7886512784424e-12, 9, 8]"
"[0.9364019379475151, 1, 0]","[0.9364019379475151, 1, 0]"
"[0.7598473274500472, 8, 0]","[8.416533498544711e-08, 6, 5]"
"[0.7902712577144839, 7, 0]","[1.2450336235984717e-10, 8, 7]"
"[0.942982579707328, 2, 0]","[3.2363475694776624e-09, 7, 6]"
"[0.9244246007572031, 3, 0]","[0.0014639394976121755, 3, 2]"
"[0.8889384245882272, 3, 0]","[4.788644238838638e-12, 9, 8]"
