"[['p value', '0.872'], 2]","[['p value', '2.99e-20'], 9]","[['p value', '0.872'], 2]","[['p value', '1.66e-14'], 9]","[['p value', '0.841'], 2]","[['p value', '0.0186'], 9]"
"[['p value', '0.444'], 8]","[['p value', '0.0171'], 2]","[['p value', '0.305'], 8]","[['p value', '0.11'], 2]","[['p value', '0.0865'], 8]","[['p value', '0.788'], 2]"
"[['p value', '0.839'], 6]","[['p value', '1.45e-05'], 6]","[['p value', '0.138'], 6]","[['p value', '0.00204'], 6]","[['p value', '0.75'], 5]","[['p value', '0.319'], 6]"
"[['p value', '0.129'], 8]","[['p value', '1.19e-15'], 7]","[['p value', '0.294'], 6]","[['p value', '2.44e-05'], 7]","[['p value', '0.591'], 8]","[['p value', '0.202'], 7]"
"[['p value', '0.761'], 8]","[['p value', '0.000534'], 8]","[['p value', '0.0812'], 7]","[['p value', '0.000428'], 6]","[['p value', '0.0395'], 8]","[['p value', '0.0755'], 8]"
"[['p value', '0.5'], 2]","[['p value', '2.48e-14'], 7]","[['p value', '0.829'], 2]","[['p value', '0.000323'], 7]","[['p value', '0.984'], 2]","[['p value', '0.922'], 7]"
"[['p value', '0.24'], 7]","[['p value', '6.93e-06'], 5]","[['p value', '0.669'], 7]","[['p value', '0.000172'], 5]","[['p value', '0.251'], 7]","[['p value', '0.255'], 5]"
"[['p value', '0.958'], 2]","[['p value', '0.767'], 2]","[['p value', '0.919'], 2]","[['p value', '0.647'], 2]","[['p value', '0.5'], 2]","[['p value', '0.311'], 2]"
"[['p value', '0.103'], 2]","[['p value', '0.103'], 2]","[['p value', '0.103'], 2]","[['p value', '0.103'], 2]","[['p value', '0.887'], 2]","[['p value', '0.887'], 2]"
"[['p value', '0.0239'], 6]","[['p value', '1.11e-14'], 7]","[['p value', '0.00631'], 4]","[['p value', '2.24e-05'], 7]","[['p value', '0.302'], 6]","[['p value', '0.091'], 7]"
"[['p value', '0.891'], 3]","[['p value', '1.09e-12'], 6]","[['p value', '0.92'], 3]","[['p value', '0.00047'], 6]","[['p value', '0.831'], 3]","[['p value', '0.221'], 6]"
"[['p value', '0.932'], 7]","[['p value', '0.00545'], 4]","[['p value', '0.905'], 4]","[['p value', '0.138'], 4]","[['p value', '0.223'], 7]","[['p value', '0.369'], 4]"
"[['p value', '0.411'], 10]","[['p value', '0.0512'], 2]","[['p value', '0.654'], 10]","[['p value', '0.197'], 2]","[['p value', '0.549'], 10]","[['p value', '0.694'], 2]"
"[['p value', '0.767'], 2]","[['p value', '0.126'], 3]","[['p value', '0.681'], 2]","[['p value', '0.673'], 3]","[['p value', '0.793'], 2]","[['p value', '0.246'], 2]"
"[['p value', '0.295'], 3]","[['p value', '0.0303'], 2]","[['p value', '0.358'], 3]","[['p value', '0.173'], 2]","[['p value', '0.0899'], 3]","[['p value', '0.233'], 2]"
"[['p value', '0.131'], 2]","[['p value', '0.0187'], 2]","[['p value', '0.165'], 2]","[['p value', '0.0258'], 2]","[['p value', '0.558'], 2]","[['p value', '0.439'], 2]"
"[['p value', '1.11e-30'], 4]","[['p value', '2.15e-31'], 13]","[['p value', '0.815'], 3]","[['p value', '2.87e-11'], 13]","[['p value', '0.273'], 3]","[['p value', '0.00081'], 13]"
"[['p value', '0.803'], 2]","[['p value', '0.000344'], 3]","[['p value', '0.335'], 2]","[['p value', '0.00188'], 3]","[['p value', '0.565'], 2]","[['p value', '0.868'], 2]"
"[['p value', '0.282'], 3]","[['p value', '0.0416'], 2]","[['p value', '0.242'], 2]","[['p value', '0.29'], 2]","[['p value', '0.539'], 3]","[['p value', '0.797'], 2]"
"[['p value', '0.949'], 2]","[['p value', '0.000851'], 2]","[['p value', '0.881'], 2]","[['p value', '0.0206'], 2]","[['p value', '0.181'], 2]","[['p value', '0.053'], 2]"
"[['p value', '0.668'], 6]","[['p value', '0.0303'], 2]","[['p value', '0.637'], 6]","[['p value', '0.319'], 2]","[['p value', '0.816'], 6]","[['p value', '0.841'], 2]"
"[['p value', '0.871'], 9]","[['p value', '3.97e-43'], 22]","[['p value', '0.0716'], 5]","[['p value', '3.92e-38'], 20]","[['p value', '0.00269'], 9]","[['p value', '2.71e-23'], 22]"
"[['p value', '0.21'], 5]","[['p value', '0.0512'], 2]","[['p value', '0.0395'], 5]","[['p value', '0.129'], 2]","[['p value', '0.564'], 5]","[['p value', '0.353'], 2]"
"[['p value', '0.389'], 10]","[['p value', '2.04e-07'], 9]","[['p value', '0.115'], 9]","[['p value', '0.00597'], 9]","[['p value', '0.406'], 10]","[['p value', '0.0781'], 9]"
"[['p value', '0.5'], 4]","[['p value', '8.27e-40'], 4]","[['p value', '0.944'], 4]","[['p value', '3.12e-05'], 3]","[['p value', '0.0639'], 4]","[['p value', '0.121'], 3]"
"[['p value', '0.0653'], 7]","[['p value', '0.029'], 3]","[['p value', '0.17'], 7]","[['p value', '0.676'], 3]","[['p value', '0.0216'], 7]","[['p value', '0.314'], 3]"
