"[0.5297548768676754, 0.5297548768676754, 1.0, 1, 0]","[0.3281204982094562, 0.3281204982094562, 1.0, 1, 0]"
"[0.6166518151174941, 0.6669706032310816, 0.9245562130177515, 3, 0]","[8.553158817654539e-11, 0.18603365304089636, 4.5976406299855176e-10, 20, 10]"
"[0.519091104498668, 0.5839068961707898, 0.8889963586709148, 4, 0]","[0.2906362734298562, 0.30226172436705045, 0.9615384615384615, 2, 0]"
"[0.594967782715279, 0.6187664940238902, 0.9615384615384615, 2, 0]","[4.595478481516161e-13, 0.03054118608804135, 1.504682387995258e-11, 20, 11]"
"[0.4929113609549464, 0.53313292800887, 0.9245562130177515, 3, 0]","[0.22653737190337375, 0.22653737190337375, 1.0, 1, 0]"
"[0.6216508991115235, 0.6216508991115235, 1.0, 1, 0]","[0.0003560309241830312, 0.35194742151679437, 0.0010116025929345867, 7, 3]"
"[0.5350870127442552, 0.5350870127442552, 1.0, 1, 0]","[0.0043513289140891835, 0.3308785595389778, 0.013150833708149628, 6, 2]"
"[0.6626609602814836, 0.6626609602814836, 1.0, 1, 0]","[0.6191067768285119, 0.6191067768285119, 1.0, 1, 0]"
"[0.7314422232943747, 0.7314422232943747, 1.0, 1, 0]","[0.7314422232943747, 0.7314422232943747, 1.0, 1, 0]"
"[0.6680294256846242, 0.914244396751986, 0.7306902050019843, 9, 0]","[0.046822357770140835, 0.07208086859547913, 0.6495809315632679, 12, 0]"
"[0.5162981151622528, 0.7642473342830377, 0.6755641688257988, 11, 0]","[0.18243242038286434, 0.18243242038286434, 1.0, 1, 0]"
"[9.191090840995923e-06, 0.8736224490562301, 1.0520666966519705e-05, 6, 4]","[0.0021564329519279516, 0.5709219667362326, 0.003777106290471792, 10, 3]"
"[0.4628672327388632, 0.4628672327388632, 1.0, 1, 0]","[0.18318082861973745, 0.19050806176452695, 0.9615384615384615, 2, 0]"
"[0.3788532331432195, 0.3788532331432195, 1.0, 1, 0]","[0.28839460262303107, 0.28839460262303107, 1.0, 1, 0]"
"[0.46693348431169057, 0.5252366668967856, 0.8889963586709148, 4, 0]","[0.00039899568865083424, 0.2697210855279639, 0.0014792899408284025, 3, 2]"
"[0.6336610022171739, 0.6336610022171739, 1.0, 1, 0]","[1.5130191994435233e-07, 0.6435459704781934, 2.351066231242593e-07, 20, 8]"
"[0.39232924768414307, 0.4080224175915088, 0.9615384615384615, 2, 0]","[0.2927098208625613, 0.3044182136970638, 0.9615384615384615, 2, 0]"
"[0.34385222205832283, 0.35760631094065576, 0.9615384615384615, 2, 0]","[0.40766286462654033, 0.40766286462654033, 1.0, 1, 0]"
"[0.6021348417647487, 0.6021348417647487, 1.0, 1, 0]","[0.4413311031043361, 0.4413311031043361, 1.0, 1, 0]"
"[0.5729941347862242, 0.5729941347862242, 1.0, 1, 0]","[0.4815111589525005, 0.4815111589525005, 1.0, 1, 0]"
"[0.6842743843596021, 0.7116453597339862, 0.9615384615384615, 2, 0]","[0.4297005169079585, 0.46476407908764794, 0.9245562130177515, 3, 0]"
"[0.721789991310076, 0.8119155767850175, 0.8889963586709148, 4, 0]","[0.00910499013116242, 0.12309946657331583, 0.07396449704142016, 3, 1]"
"[0.4445131143945885, 0.4445131143945885, 1.0, 1, 0]","[0.08093498392612909, 0.5917655234340281, 0.13676867056475617, 5, 1]"
"[0.30518362569098345, 0.30518362569098345, 1.0, 1, 0]","[0.012718476030500137, 0.33068037679300355, 0.038461538461538464, 2, 1]"
"[0.5063771519839455, 0.5063771519839455, 1.0, 1, 0]","[0.0031452145893728035, 0.003826634458831246, 0.8219271067593517, 6, 0]"
"[0.46697691795480356, 0.5050822344599155, 0.9245562130177515, 3, 0]","[0.3713305624244322, 0.5081915152036611, 0.7306902050019843, 9, 0]"
"[0.690394912126085, 0.690394912126085, 1.0, 1, 0]","[0.0017276660341041862, 0.4048727762055355, 0.004267182521620393, 4, 2]"
"[0.5950582351811852, 0.6436149871719699, 0.9245562130177515, 3, 0]","[0.08829635021877227, 0.27303698229131546, 0.3233860463802113, 15, 1]"
"[0.35217638455533795, 0.4456154772430301, 0.7903145257301459, 7, 0]","[0.024490819216325007, 0.3311158758047139, 0.07396449704142016, 3, 1]"
"[0.49742377502977486, 0.5173207260309659, 0.9615384615384615, 2, 0]","[0.0001702274548733272, 0.06500223947234818, 0.0026187936947271117, 9, 3]"
"[0.5990478144958391, 0.6230097270756727, 0.9615384615384615, 2, 0]","[0.01773395449244697, 0.4610828168036212, 0.038461538461538464, 2, 1]"
"[0.35790748876799644, 0.5094139565175994, 0.7025867355788306, 10, 0]","[0.011527536341741933, 0.15585229134035083, 0.07396449704142016, 3, 1]"
